year,poils_NOUN égaux_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,5.401467717547348e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,1.0788894222457657e-08
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,5.933240565525466e-09
1821,0.0
1822,3.0076847679083585e-09
1823,0.0
1824,0.0
1825,7.924898959288385e-09
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,2.0873671680021744e-09
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,3.781543966852041e-09
1836,0.0
1837,4.174734336004349e-09
1838,6.312161904276081e-10
1839,1.2584655095793096e-08
1840,0.0
1841,3.852329122366882e-09
1842,0.0
1843,0.0
1844,1.097712254427563e-09
1845,5.580227946389016e-10
1846,1.7563503984519002e-09
1847,5.393223645455691e-10
1848,4.02261068899179e-09
1849,5.865590679832167e-09
1850,0.0
1851,0.0
1852,6.510545436100301e-09
1853,5.971931837933653e-10
1854,1.0391328908454511e-09
1855,1.5920811335945473e-09
1856,0.0
1857,0.0
1858,9.787352039936081e-10
1859,0.0
1860,0.0
1861,0.0
1862,4.517986262886353e-10
1863,0.0
1864,5.274200631788517e-09
1865,2.3534221238463715e-09
1866,4.865612912574591e-10
1867,1.455843445796745e-09
1868,9.87974813071446e-10
1869,1.70923168951731e-08
1870,1.1468097582678638e-09
1871,0.0
1872,2.4189357183956872e-09
1873,4.190203295451056e-09
1874,0.0
1875,1.1443054281912168e-09
1876,0.0
1877,0.0
1878,1.2078177347163432e-09
1879,1.832797580370027e-09
1880,4.492492600149944e-09
1881,9.761510710859511e-09
1882,6.655385131892899e-10
1883,1.2638677882037541e-09
1884,6.601696966868076e-10
1885,1.933690763067375e-09
1886,0.0
1887,6.528924512139156e-09
1888,3.1703073499755874e-09
1889,5.6386229019267375e-09
1890,1.9663159989136147e-09
1891,0.0
1892,6.268512375839919e-09
1893,0.0
1894,0.0
1895,6.018614495673091e-10
1896,0.0
1897,0.0
1898,5.092519295146758e-09
1899,0.0
1900,5.191053142894475e-10
1901,5.588738916095792e-10
1902,9.820567692386817e-10
1903,1.0800440541913758e-09
1904,1.0749250378694342e-09
1905,1.5482277682110634e-09
1906,0.0
1907,1.028568674676933e-09
1908,0.0
1909,5.500983557560346e-10
1910,1.068830135508847e-09
1911,1.5961122423746588e-09
1912,1.5628263128064646e-09
1913,1.590896969716482e-09
1914,0.0
1915,0.0
1916,0.0
1917,1.0966424435210342e-09
1918,0.0
1919,1.8415696745321952e-09
1920,3.786115865267448e-09
1921,2.2718242842501013e-09
1922,0.0
1923,0.0
1924,0.0
1925,3.299453377181294e-09
1926,2.229227691330493e-09
1927,0.0
1928,0.0
1929,1.1140406375176326e-09
1930,1.0503603542488804e-09
1931,5.7026783295555106e-09
1932,0.0
1933,0.0
1934,2.3963160344919743e-09
1935,3.590485242455088e-09
1936,0.0
1937,1.2591118148108649e-09
1938,0.0
1939,0.0
1940,1.7750480196809804e-08
1941,0.0
1942,1.517105907566929e-08
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,3.2615663503321457e-09
1949,2.945102384188658e-09
1950,1.0635361480382244e-09
1951,1.0661401761424827e-09
1952,1.0544803918932644e-09
1953,1.0773827385790469e-09
1954,0.0
1955,9.385607846468247e-10
1956,8.72114158667614e-10
1957,8.835037701437898e-10
1958,8.272243445794913e-10
1959,0.0
1960,0.0
1961,1.3896318540318475e-09
1962,8.8787386332001e-09
1963,1.939815863494232e-09
1964,6.083968329129164e-10
1965,0.0
1966,1.1078149508847446e-09
1967,2.465167847631733e-09
1968,1.3474247273492779e-09
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,1.2415004579935385e-09
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,5.996553809062277e-10
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,4.5037495954858286e-10
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
