year,vrais_ADJ ânes_NOUN,vrais_ADJ fans_NOUN
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,8.528632911009026e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,9.86148829262845e-10
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,3.781543966852041e-09,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,3.3541325272778977e-09,0.0
1843,5.906911071384968e-10,0.0
1844,0.0,0.0
1845,3.348136878855712e-09,0.0
1846,1.1709002656346001e-09,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,3.8696632564949596e-09,0.0
1852,0.0,0.0
1853,1.1943863675867306e-09,0.0
1854,0.0,0.0
1855,5.306937111981824e-10,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,2.9967726078439227e-09,0.0
1864,9.589455896019672e-10,0.0
1865,2.3534221238463715e-09,0.0
1866,2.919367858567057e-09,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,1.4650557433881772e-09,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,6.047339295989218e-10,0.0
1873,2.9930022904522957e-09,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,0.0,0.0
1881,0.0,0.0
1882,0.0,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,2.5813855497602844e-09,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,6.265136742733546e-10,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,0.0
1899,5.527578395003729e-10,0.0
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,0.0,0.0
1909,5.500983557560346e-10,0.0
1910,0.0,0.0
1911,1.0640748282497725e-09,0.0
1912,0.0,0.0
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,4.594550517822427e-09,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,0.0,0.0
1924,0.0,0.0
1925,0.0,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
1929,0.0,0.0
1930,0.0,0.0
1931,4.5621426636444085e-09,0.0
1932,2.1919073223131136e-09,0.0
1933,0.0,0.0
1934,0.0,0.0
1935,0.0,0.0
1936,0.0,0.0
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,0.0,0.0
1948,0.0,0.0
1949,0.0,0.0
1950,0.0,0.0
1951,0.0,0.0
1952,0.0,0.0
1953,0.0,0.0
1954,0.0,0.0
1955,9.385607846468247e-10,0.0
1956,0.0,0.0
1957,0.0,0.0
1958,0.0,0.0
1959,0.0,0.0
1960,1.3841666701708277e-09,0.0
1961,6.948159270159238e-10,0.0
1962,0.0,0.0
1963,1.939815863494232e-09,0.0
1964,0.0,0.0
1965,0.0,0.0
1966,0.0,0.0
1967,4.930335584241163e-10,4.930335584241163e-10
1968,4.4914158503495116e-10,0.0
1969,0.0,4.5417578031781147e-10
1970,0.0,1.3796175313274261e-09
1971,5.138397485282553e-10,0.0
1972,0.0,0.0
1973,5.513203782392395e-10,0.0
1974,0.0,0.0
1975,0.0,0.0
1976,5.713526873840635e-10,1.142705374768127e-09
1977,5.876781838942691e-10,1.1753563677885381e-09
1978,1.7821774056514528e-09,3.5643548113029055e-09
1979,0.0,0.0
1980,0.0,1.1370301367108482e-09
1981,1.2651099057237047e-09,6.325549528618524e-10
1982,6.207502289967692e-10,3.1037510339615437e-09
1983,0.0,2.5261264191556165e-09
1984,1.739702604197646e-09,0.0
1985,0.0,1.2031116103372597e-09
1986,5.994485463567401e-10,5.994485463567401e-10
1987,0.0,0.0
1988,5.996553809062277e-10,2.398621523624911e-09
1989,1.0976244357863152e-09,4.390497743145261e-09
1990,0.0,0.0
1991,0.0,1.7584396161396398e-09
1992,0.0,1.1019888335184191e-09
1993,0.0,3.323524566667402e-09
1994,5.274926606624319e-10,4.2199412852994556e-09
1995,1.0844901643380922e-09,1.0844901643380922e-09
1996,1.6014276571496566e-09,1.6014276571496566e-09
1997,0.0,1.917957792585412e-09
1998,0.0,2.86087753487152e-09
1999,4.570201161957499e-10,2.7421207526856506e-09
2000,0.0,8.836062992401139e-10
2001,4.3812117822561447e-10,1.3143635069212678e-09
2002,4.38122149670761e-10,2.6287327870022636e-09
2003,0.0,6.250384210204629e-09
2004,0.0,1.7619165015858584e-09
2005,0.0,4.503749373441224e-09
2006,8.235779835885637e-10,4.117890028965121e-09
2007,0.0,3.595031605740928e-09
2008,1.7029758714315335e-09,4.6831836186811415e-09
2009,9.53638501499654e-10,8.105927484791664e-09
2010,9.447586046817946e-10,1.1337103700270745e-08
2011,0.0,1.5295887223487625e-08
2012,3.404252713057332e-10,2.7234021260369445e-08
2013,2.789125042035323e-10,2.3149738126448938e-08
2014,1.0827225782605865e-09,1.3642305063399363e-08
2015,2.2165753954528356e-10,1.0861219479352258e-08
2016,8.285360175719347e-10,1.3877977877996273e-08
2017,2.515611330355938e-10,2.5156113636626287e-08
2018,2.5814667070633845e-10,1.7812119779136992e-08
2019,0.0,2.1173198305746155e-08
